ID,H,w
2018-Es-05545,0.26531944,0.58822906
2018-Es-03677,0.14618477,0.74649256
2018-Es-06347,0.18506579,0.6906435
2018-Es-04744,0.23778129,0.6215353
2018-Es-01025,0.18140574,0.6957176
2018-Es-06616,0.19575626,0.6760336
2018-Es-03950,0.255767,0.59957516
2018-Es-05344,0.2647518,0.5888973
2018-Es-06572,0.21362752,0.6522972
2018-Es-01095,0.2604349,0.5940037
2018-Es-06797,0.19378322,0.6787065
2018-Es-04482,0.20409419,0.66485363
2018-Es-05587,0.15802939,0.72901654
2018-Es-00608,0.1790474,0.6990068
2018-Es-02168,0.17029335,0.7113528
2018-Es-00648,0.21705224,0.64784455
2018-Es-02390,0.2170381,0.6478629
2018-Es-01681,0.160746,0.72506636
2018-Es-05029,0.22730388,0.6346969
2018-Es-06237,0.19079906,0.6827694
2018-Es-06129,0.20443702,0.6643979
2018-Es-05048,0.25237143,0.6036608
2018-Es-02639,0.17928192,0.6986791
2018-Es-05136,0.21427716,0.6514502
2018-Es-03594,0.15828261,0.7286474
2018-Es-02851,0.23611484,0.6236103
2018-Es-02907,0.1668248,0.7163047
2018-Es-05422,0.2032261,0.66600895
2018-Es-05325,0.26738605,0.5858028
2018-Es-00987,0.17862348,0.69959974
2018-Es-04079,0.21991105,0.644151
2018-Es-06241,0.20093708,0.669065
2018-Es-05705,0.27966794,0.5715885
2018-Es-00167,0.18742533,0.68739194
2018-Es-05739,0.17020895,0.71147287
2018-Es-01579,0.1495942,0.7414197
2018-Es-03561,0.27673128,0.5749555
2018-Es-00749,0.18256837,0.6941017
2018-Es-00791,0.2899749,0.55992645
2018-Es-06520,0.21406122,0.6517316
2018-Es-03240,0.19667435,0.6747934
2018-Es-05066,0.24518059,0.6124051
2018-Es-03410,0.22022504,0.6437467
2018-Es-03542,0.18387619,0.6922886
2018-Es-04447,0.14711131,0.7451106
2018-Es-06226,0.29596442,0.5532591
2018-Es-06455,0.23840736,0.6207575
2018-Es-04367,0.21741553,0.64737403
2018-Es-02089,0.20915192,0.65816224
2018-Es-06073,0.20211726,0.6674875
2018-Es-05023,0.2473161,0.6097951
2018-Es-01485,0.2057908,0.6626015
2018-Es-00942,0.32231602,0.5248556
2018-Es-02378,0.1929851,0.6797908
2018-Es-03942,0.23884577,0.6202135
2018-Es-00511,0.22153689,0.64205986
2018-Es-00192,0.2227611,0.64048976
2018-Es-02973,0.20343295,0.66573346
2018-Es-05035,0.16135226,0.72418773
2018-Es-06619,0.25758824,0.5973952
2018-Es-04608,0.16377373,0.72068906
2018-Es-02879,0.15084368,0.7395692
2018-Es-00293,0.16565873,0.7179771
2018-Es-04048,0.1784036,0.6999075
2018-Es-00592,0.18854283,0.6858573
2018-Es-01195,0.2361518,0.6235641
2018-Es-03153,0.19249107,0.6804628
2018-Es-03746,0.26642528,0.5869295
2018-Es-02860,0.18408056,0.6920057
2018-Es-06146,0.21781674,0.64685476
2018-Es-04816,0.31014594,0.53778744
2018-Es-05872,0.27439782,0.57764506
2018-Es-02531,0.17943142,0.6984702
2018-Es-03490,0.20554172,0.6629316
2018-Es-00330,0.218758,0.6456382
2018-Es-02264,0.17220026,0.708645
2018-Es-04308,0.16041173,0.7255513
2018-Es-05495,0.18282527,0.69374526
2018-Es-01420,0.18722077,0.68767315
2018-Es-05208,0.13810457,0.75865424
2018-Es-01466,0.20766376,0.66012406
2018-Es-05802,0.23558535,0.62427104
2018-Es-03618,0.27221486,0.58017254
2018-Es-02382,0.16165914,0.72374344
2018-Es-04646,0.121452935,0.7843454
2018-Es-02636,0.20945588,0.6577623
2018-Es-03724,0.27803057,0.57346344
2018-Es-01258,0.28466335,0.56590635
2018-Es-03507,0.14600398,0.7467626
2018-Es-00838,0.11521804,0.7941872
2018-Es-02001,0.21327023,0.6527634
2018-Es-05511,0.14447647,0.74904746
2018-Es-01829,0.14565612,0.74728227
2018-Es-04286,0.25811556,0.59676546
2018-Es-02770,0.25025433,0.6062223
2018-Es-06290,0.22740959,0.6345627
2018-Es-05823,0.20294851,0.66637874
